id,repository,package,installed_version,cve,severity,dependency_type,dependency_depth,reachability,evidence
F001,seed,decompress,4.2.1,GHSA-mp2f-45pm-3cg9,Critical,transitive,3,not_reachable,"napa -> download -> decompress; no application reference or extraction path"
F002,seed,shell-quote,1.8.3,GHSA-w7jw-789q-3m8p,Critical,transitive,2,not_reachable,"npm-run-all -> shell-quote; development tooling only"
F003,CoPeP,hydra-core,1.3.2,GHSA-2cp2-2r3c-7p7r,High,direct,1,not_reachable,"Hydra is used, but the vulnerable instantiate path was not identified"
F004,seed,shell-quote,1.8.3,GHSA-395f-4hp3-45gv,High,transitive,2,not_reachable,"npm-run-all -> shell-quote; parse() not used"
F005,seed,sqlparse,0.5.5,GHSA-prg7-hcfm-mfcr,High,transitive,2,not_reachable,"Django -> sqlparse; no application sqlparse usage"
F006,CoPeP,tornado,6.5.4,GHSA-78cv-mqj4-43f7,Medium,transitive,2,not_reachable,"ipykernel -> tornado; no Tornado API usage"
F007,cycode-cli,requests,2.32.5,GHSA-gc5v-m9x4-r6x2,Medium,direct,1,not_reachable,"Requests is used, but extract_zipped_paths() was not identified"
F008,pypi-browser,idna,3.7,GHSA-65pc-fj4g-8rjx,Medium,transitive,2,not_reachable,"httpx -> idna; no application IDNA API usage"
F009,pypi-browser,jinja2,3.1.4,GHSA-q2x7-8rv6-6q7h,Medium,direct,1,not_reachable,"Jinja2 is used with trusted templates; vulnerable sandbox condition absent"
F010,pypi-browser,setuptools,69.5.1,GHSA-h35f-9h28-mq5c,Medium,transitive,3,not_reachable,"pre-commit -> nodeenv -> setuptools; no runtime packaging path"
F011,pypi-browser,virtualenv,20.26.2,GHSA-597g-3phw-6986,Medium,transitive,2,not_reachable,"pre-commit -> virtualenv; no production invocation"
F012,seed,angular,1.8.3,GHSA-qwqh-hm9m-p5hr,Medium,direct,1,not_reachable,"AngularJS is used, but the vulnerable URL-input path was not identified"
F013,seed,got,7.1.0,GHSA-pfrx-2q88-qq97,Medium,transitive,3,not_reachable,"napa -> download -> got; no application got import"
F014,validator,cryptography,45.0.7,GHSA-m2h6-j472-rp4c,Medium,transitive,4,not_reachable,"twine -> keyring -> secretstorage -> cryptography; no application cryptography usage"
F015,validator,pytest,8.3.5;8.4.2,GHSA-6w46-j5rx-g56g,Medium,direct-dev-test,1,not_reachable,"pytest is used for tests/CI, not the production application runtime"
F016,CoPeP,aiohttp,3.13.3,GHSA-9x8q-7h8h-wcw9,Low,transitive,3,not_reachable,"datasets -> fsspec[http] -> aiohttp; no application aiohttp usage"
F017,CoPeP,torch,2.10.0,GHSA-rrmf-rvhw-rf47,Low,direct,1,not_reachable,"Torch is used, but the vulnerable TorchScript path was not identified"
F018,pypi-browser,pygments,2.18.0,GHSA-5239-wwwm-4pmq,Low,direct,1,conditionally_reachable,"archive_path -> guess_lexer_for_filename() -> AdlLexer"
F019,pypi-browser,starlette,0.37.2,GHSA-jp82-jpqv-5vv3,Low,direct,1,not_reachable,"No request.url hostname/netloc usage was identified"
F020,seed,angular,1.8.3,GHSA-mqm9-c95h-x2p6,Low,direct,1,not_reachable,"No srcset, ng-srcset, or source/srcset usage was identified"
